Year,Team Payroll,Avg Payroll,Diff,Team,W,L,WS WIN
2000,51464167,57491092,-6026925,Angels,82,80,0
2001,46945167,67120750,-20175583,Angels,75,87,0
2002,61414167,69204705,-7790538,Angels,99,63,1
2003,77001667,72156639,4845028,Angels,77,85,0
2004,99197000,71426357,27770643,Angels,92,70,0
2005,95492822,73628169,21864653,Angels,95,67,0
2006,102392000,81192832,21199168,Angels,89,73,0
2007,109068500,85747487,23321013,Angels,94,68,0
2008,119783700,93079041,26704659,Angels,100,62,0
2009,112869000,92957049,19911951,Angels,97,65,0
2010,120613867,94957956,25655911,Angels,80,82,0
2011,145398524,97426414,47972110,Angels,86,76,0
2012,155023024,100689500,54333524,Angels,89,73,0
2013,141039107,106658387,34380720,Angels,78,84,0
2014,158189357,115428670,42760687,Angels,98,64,0
2015,141650332,125458486,16191846,Angels,85,77,0
2016,164673333,130290910,34382423,Angels,74,88,0
2017,166375833,136573000,29802833,Angels,80,82,0
2018,166649999,135681867,30968132,Angels,80,82,0
2019,158878583,134776225,24102358,Angels,72,90,0
2020,180711036,138277702,42433334,Angels,26,34,0
2021,164391595,129292854,35098741,Angels,77,85,0
2022,162938095,104982134,57955961,Angels,,162,0
2023,104688096,74824708,29863388,Angels,,162,0
2024,97688095,56659739,41028356,Angels,,162,0
2025,98188095,44734012,53454083,Angels,,162,0
2026,77188095,34194416,42993679,Angels,,162,0
2027,37116667,30469616,6647051,Angels,,162,0
2028,37116667,32844883,4271784,Angels,,162,0
2029,37116667,28037847,9078820,Angels,,162,0
2030,37116667,31977232,5139435,Angels,,162,0
1999,8600000,7867823,732177,Diamondbacks,100,62,0
2000,78869333,57491092,21378241,Diamondbacks,85,77,0
2001,85080499,67120750,17959749,Diamondbacks,92,70,1
2002,104517499,69204705,35312794,Diamondbacks,98,64,0
2003,80557000,72156639,8400361,Diamondbacks,84,78,0
2004,69935750,71426357,-1490607,Diamondbacks,51,111,0
2005,62413833,73628169,-11214336,Diamondbacks,77,85,0
2006,62073898,81192832,-19118934,Diamondbacks,76,86,0
2007,52402000,85747487,-33345487,Diamondbacks,90,72,0
2008,66138000,93079041,-26941041,Diamondbacks,82,80,0
2009,73375000,92957049,-19582049,Diamondbacks,70,92,0
2010,71984833,94957956,-22973123,Diamondbacks,65,97,0
2011,55889833,97426414,-41536581,Diamondbacks,94,68,0
2012,75908166,100689500,-24781334,Diamondbacks,81,81,0
2013,90300500,106658387,-16357887,Diamondbacks,81,81,0
2014,112315500,115428670,-3113170,Diamondbacks,64,98,0
2015,88187000,125458486,-37271486,Diamondbacks,79,83,0
2016,98172683,130290910,-32118227,Diamondbacks,69,93,0
2017,93120200,136573000,-43452800,Diamondbacks,93,69,0
2018,131965116,135681867,-3716751,Diamondbacks,82,80,0
2019,123815766,134776225,-10960459,Diamondbacks,85,77,0
2020,121918000,138277702,-16359702,Diamondbacks,25,35,0
2021,96423700,129292854,-32869154,Diamondbacks,52,110,0
2022,62525000,104982134,-42457134,Diamondbacks,,162,0
2023,40625000,74824708,-34199708,Diamondbacks,,162,0
2024,16000000,56659739,-40659739,Diamondbacks,,162,0
1988,62500,732083,-669583,Braves,54,108,0
1989,86000,862714,-776714,Braves,63,99,0
1990,210000,1203571,-993571,Braves,65,97,0
1991,355000,1884642,-1529642,Braves,94,68,0
1992,1525000,2356071,-831071,Braves,98,64,0
1993,2500000,3410000,-910000,Braves,104,58,0
1994,3250000,3911904,-661904,Braves,68,94,0
1995,4750000,5208333,-458333,Braves,90,72,1
1996,5609000,4583416,1025584,Braves,96,66,0
1997,7000000,4892222,2107778,Braves,101,61,0
1998,7750000,6661904,1088096,Braves,106,56,0
1999,7750000,7867823,-117823,Braves,103,59,0
2000,82372500,57491092,24881408,Braves,95,67,0
2001,90994166,67120750,23873416,Braves,87,75,0
2002,92460367,69204705,23255662,Braves,101,61,0
2003,104859000,72156639,32702361,Braves,101,61,0
2004,90107500,71426357,18681143,Braves,96,66,0
2005,86457302,73628169,12829133,Braves,90,72,0
2006,89820876,81192832,8628044,Braves,79,83,0
2007,87780833,85747487,2033346,Braves,84,78,0
2008,103069017,93079041,9989976,Braves,72,90,0
2009,97439334,92957049,4482285,Braves,86,76,0
2010,84390334,94957956,-10567622,Braves,91,71,0
2011,92202417,97426414,-5223997,Braves,89,73,0
2012,93529667,100689500,-7159833,Braves,94,68,0
2013,90039583,106658387,-16618804,Braves,96,66,0
2014,112865874,115428670,-2562796,Braves,79,83,0
2015,97443604,125458486,-28014882,Braves,67,95,0
2016,86580792,130290910,-43710118,Braves,68,94,0
2017,122603054,136573000,-13969946,Braves,72,90,0
2018,118284851,135681867,-17397016,Braves,90,72,0
2019,128247089,134776225,-6529136,Braves,97,65,0
2020,149673875,138277702,11396173,Braves,35,25,0
2021,131158375,129292854,1865521,Braves,88,74,1
2022,129300000,104982134,24317866,Braves,,162,0
2023,93300000,74824708,18475292,Braves,,162,0
2024,66350000,56659739,9690261,Braves,,162,0
2025,47000000,44734012,2265988,Braves,,162,0
2026,43000000,34194416,8805584,Braves,,162,0
2027,32000000,30469616,1530384,Braves,,162,0
2028,22000000,32844883,-10844883,Braves,,162,0
2029,22000000,28037847,-6037847,Braves,,162,0
2000,82250111,57491092,24759019,Orioles,74,88,0
2001,73894540,67120750,6773790,Orioles,63,99,0
2002,60496987,69204705,-8707718,Orioles,67,95,0
2003,73282500,72156639,1125861,Orioles,71,91,0
2004,53273333,71426357,-18153024,Orioles,78,84,0
2005,73066833,73628169,-561336,Orioles,74,88,0
2006,83729266,81192832,2536434,Orioles,70,92,0
2007,94056726,85747487,8309239,Orioles,69,93,0
2008,66644581,93079041,-26434460,Orioles,68,94,0
2009,68369792,92957049,-24587257,Orioles,64,98,0
2010,75412500,94957956,-19545456,Orioles,66,96,0
2011,88184250,97426414,-9242164,Orioles,69,93,0
2012,84769000,100689500,-15920500,Orioles,93,69,0
2013,92238334,106658387,-14420053,Orioles,85,77,0
2014,107976154,115428670,-7452516,Orioles,96,66,0
2015,118975833,125458486,-6482653,Orioles,81,81,0
2016,147693714,130290910,17402804,Orioles,89,73,0
2017,164326172,136573000,27753172,Orioles,75,87,0
2018,148574615,135681867,12892748,Orioles,47,115,0
2019,80814882,134776225,-53961343,Orioles,54,108,0
2020,62285088,138277702,-75992614,Orioles,25,35,0
2021,62525283,129292854,-66767571,Orioles,52,110,0
2022,18016667,104982134,-86965467,Orioles,,162,0
2023,6666667,74824708,-68158041,Orioles,,162,0
2024,5666666,56659739,-50993073,Orioles,,162,0
1997,1100000,4892222,-3792222,Red Sox,78,84,0
1998,9100000,6661904,2438096,Red Sox,92,70,0
1999,14500000,7867823,6632177,Red Sox,94,68,0
2000,80978533,57491092,23487441,Red Sox,85,77,0
2001,111488333,67120750,44367583,Red Sox,82,80,0
2002,108645000,69204705,39440295,Red Sox,93,69,0
2003,99251500,72156639,27094861,Red Sox,95,67,0
2004,128545500,71426357,57119143,Red Sox,98,64,1
2005,125097825,73628169,51469656,Red Sox,95,67,0
2006,124406500,81192832,43213668,Red Sox,86,76,0
2007,147568833,85747487,61821346,Red Sox,96,66,1
2008,136798083,93079041,43719042,Red Sox,95,67,0
2009,122803640,92957049,29846591,Red Sox,95,67,0
2010,173759833,94957956,78801877,Red Sox,89,73,0
2011,165828976,97426414,68402562,Red Sox,90,72,0
2012,175205284,100689500,74515784,Red Sox,69,93,0
2013,150655000,106658387,43996613,Red Sox,97,65,1
2014,163414996,115428670,47986326,Red Sox,71,91,0
2015,180779329,125458486,55320843,Red Sox,78,84,0
2016,197899679,130290910,67608769,Red Sox,93,69,0
2017,197041179,136573000,60468179,Red Sox,93,69,0
2018,233200428,135681867,97518561,Red Sox,108,54,0
2019,236171428,134776225,101395203,Red Sox,84,78,1
2020,187907969,138277702,49630267,Red Sox,24,36,0
2021,176099500,129292854,46806646,Red Sox,92,70,0
2022,164350000,104982134,59367866,Red Sox,,162,0
2023,71975000,74824708,-2849708,Red Sox,,162,0
2024,50750000,56659739,-5909739,Red Sox,,162,0
2025,20000000,44734012,-24734012,Red Sox,,162,0
2000,61584333,57491092,4093241,Cubs,65,97,0
2001,64315833,67120750,-2804917,Cubs,88,74,0
2002,74959833,69204705,5755128,Cubs,67,95,0
2003,79805000,72156639,7648361,Cubs,88,74,0
2004,89226667,71426357,17800310,Cubs,89,73,0
2005,85064767,73628169,11436598,Cubs,79,83,0
2006,93257833,81192832,12065001,Cubs,66,96,0
2007,99285666,85747487,13538179,Cubs,85,77,0
2008,120270833,93079041,27191792,Cubs,97,65,0
2009,135142333,92957049,42185284,Cubs,83,79,0
2010,143359000,94957956,48401044,Cubs,75,87,0
2011,134329000,97426414,36902586,Cubs,71,91,0
2012,111034202,100689500,10344702,Cubs,61,101,0
2013,107375524,106658387,717137,Cubs,66,96,0
2014,92677368,115428670,-22751302,Cubs,73,89,0
2015,120337385,125458486,-5121101,Cubs,97,65,0
2016,171611832,130290910,41320922,Cubs,103,59,1
2017,172199881,136573000,35626881,Cubs,92,70,0
2018,183156139,135681867,47474272,Cubs,95,67,0
2019,214246988,134776225,79470763,Cubs,84,78,0
2020,188459500,138277702,50181798,Cubs,34,26,0
2021,151825000,129292854,22532146,Cubs,71,91,0
2022,113010000,104982134,8027866,Cubs,,162,0
2023,93010000,74824708,18185292,Cubs,,162,0
2024,50010000,56659739,-6649739,Cubs,,162,0
2025,20000000,44734012,-24734012,Cubs,,162,0
2026,19000000,34194416,-15194416,Cubs,,162,0
2000,31006000,57491092,-26485092,White Sox,95,67,0
2001,65906167,67120750,-1214583,White Sox,83,79,0
2002,57757833,69204705,-11446872,White Sox,81,81,0
2003,51180000,72156639,-20976639,White Sox,86,76,0
2004,67812500,71426357,-3613857,White Sox,83,79,0
2005,75695000,73628169,2066831,White Sox,99,63,1
2006,102175667,81192832,20982835,White Sox,90,72,0
2007,108956833,85747487,23209346,White Sox,72,90,0
2008,121250167,93079041,28171126,White Sox,89,73,0
2009,98473500,92957049,5516451,White Sox,79,83,0
2010,102780000,94957956,7822044,White Sox,88,74,0
2011,127789000,97426414,30362586,White Sox,79,83,0
2012,97669500,100689500,-3020000,White Sox,85,77,0
2013,118914500,106658387,12256113,White Sox,63,99,0
2014,90062658,115428670,-25366012,White Sox,73,89,0
2015,118619177,125458486,-6839309,White Sox,76,86,0
2016,114498667,130290910,-15792243,White Sox,78,84,0
2017,97823271,136573000,-38749729,White Sox,67,95,0
2018,71217000,135681867,-64464867,White Sox,62,100,0
2019,88902000,134776225,-45874225,White Sox,72,90,0
2020,124215000,138277702,-14062702,White Sox,35,25,0
2021,128641666,129292854,-651188,White Sox,93,69,0
2022,163383332,104982134,58401198,White Sox,,162,0
2023,109966668,74824708,35141960,White Sox,,162,0
2024,86133334,56659739,29473595,White Sox,,162,0
2025,24250000,44734012,-20484012,White Sox,,162,0
2026,3250000,34194416,-30944416,White Sox,,162,0
2000,44767200,57491092,-12723892,Reds,85,77,0
2001,47974000,67120750,-19146750,Reds,66,96,0
2002,43203890,69204705,-26000815,Reds,78,84,0
2003,58541000,72156639,-13615639,Reds,69,93,0
2004,46697250,71426357,-24729107,Reds,76,86,0
2005,62594583,73628169,-11033586,Reds,73,89,0
2006,63631833,81192832,-17560999,Reds,80,82,0
2007,69910833,85747487,-15836654,Reds,72,90,0
2008,72240000,93079041,-20839041,Reds,74,88,0
2009,72283500,92957049,-20673549,Reds,78,84,0
2010,76876500,94957956,-18081456,Reds,91,71,0
2011,76631134,97426414,-20795280,Reds,79,83,0
2012,87826167,100689500,-12863333,Reds,97,65,0
2013,111105533,106658387,4447146,Reds,90,72,0
2014,115384724,115428670,-43946,Reds,76,86,0
2015,115373953,125458486,-10084533,Reds,64,98,0
2016,90416228,130290910,-39874682,Reds,68,94,0
2017,95375786,136573000,-41197214,Reds,68,94,0
2018,101337500,135681867,-34344367,Reds,67,95,0
2019,127218214,134776225,-7558011,Reds,75,87,0
2020,145670792,138277702,7393090,Reds,31,29,0
2021,129642381,129292854,349527,Reds,83,79,0
2022,62300000,104982134,-42682134,Reds,,162,0
2023,43500000,74824708,-31324708,Reds,,162,0
2024,7000000,56659739,-49659739,Reds,,162,0
2000,76938090,57491092,19446998,Indians,90,72,0
2001,93672001,67120750,26551251,Indians,89,73,0
2002,78691449,69204705,9486744,Indians,74,88,0
2003,47770900,72156639,-24385739,Indians,68,94,0
2004,34910300,71426357,-36516057,Indians,80,82,0
2005,40873600,73628169,-32754569,Indians,93,69,0
2006,56041800,81192832,-25151032,Indians,78,84,0
2007,61452100,85747487,-24295387,Indians,96,66,0
2008,77258400,93079041,-15820641,Indians,81,81,0
2009,81972100,92957049,-10984949,Indians,65,97,0
2010,61203967,94957956,-33753989,Indians,69,93,0
2011,49426567,97426414,-47999847,Indians,80,82,0
2012,66880300,100689500,-33809200,Indians,68,94,0
2013,78955733,106658387,-27702654,Indians,92,70,0
2014,86916235,115428670,-28512435,Indians,85,77,0
2015,87997101,125458486,-37461385,Indians,81,81,0
2016,96304400,130290910,-33986510,Indians,94,68,0
2017,124116166,136573000,-12456834,Indians,102,60,0
2018,134851566,135681867,-830301,Indians,91,71,0
2019,119575034,134776225,-15201191,Indians,93,69,0
2020,92031066,138277702,-46246636,Indians,35,25,0
